Model,VaR level,Breaches,Breach rate,Expected rate,Kupiec p,Independence p,Conditional coverage p,Kupiec,Independence,Conditional coverage
4-state HMM,95%,99,0.06573705179282868,0.050000000000000044,0.007390800454349975,0.8395781055215836,0.027100220597173368,Reject,Fail to reject,Reject
4-state HMM,99%,24,0.01593625498007968,0.010000000000000009,0.0330676966917503,0.37778819591534185,0.06994270715688675,Reject,Fail to reject,Fail to reject
Gaussian,95%,71,0.04714475431606906,0.050000000000000044,0.6078795973284341,0.16696633419377815,0.3373537273563537,Fail to reject,Fail to reject,Fail to reject
Gaussian,99%,36,0.02390438247011952,0.010000000000000009,4.22092346597959e-06,0.010233312746385006,9.395954068166478e-07,Reject,Reject,Reject
Student-t,95%,96,0.06374501992031872,0.050000000000000044,0.01867582104721598,0.022518471190060042,0.00466136911926032,Reject,Reject,Reject
Student-t,99%,18,0.01195219123505976,0.010000000000000009,0.46009460428429794,0.01677886293070265,0.04360814492044158,Fail to reject,Reject,Reject
"GARCH(1,1)",95%,88,0.05843293492695883,0.050000000000000044,0.14314266169795875,0.9454518198520543,0.34154922780458247,Fail to reject,Fail to reject,Fail to reject
"GARCH(1,1)",99%,32,0.021248339973439574,0.010000000000000009,0.00013651761330059334,0.7107128431359546,0.0006467290536577425,Reject,Fail to reject,Reject
"t-GARCH(1,1)",95%,92,0.06108897742363878,0.050000000000000044,0.05598683603507498,0.8671260014905343,0.15878236852598432,Fail to reject,Fail to reject,Fail to reject
"t-GARCH(1,1)",99%,23,0.015272244355909695,0.010000000000000009,0.05636793810189982,0.361725093532943,0.10682927291180123,Fail to reject,Fail to reject,Fail to reject
